type,vertex_count,k,eigenvector_fp,eigenvector_energy,half_fp,half_energy
BA,150,7,4,0.10666666666666667,3,0.10738255033557047
BA,50,3,0,0.09959183673469388,2,0.08816326530612245
BA,50,5,2,0.16163265306122448,1,0.15510204081632653
BA,50,7,25,0.15836734693877552,25,0.15183673469387754
BA,100,3,0,0.0597979797979798,5,0.05898989898989899
BA,100,5,1,0.10303030303030303,5,0.10949494949494949
BA,100,7,2,0.13777777777777778,20,0.13131313131313133
BA,150,3,0,0.04259507829977629,2,0.04402684563758389
BA,150,5,0,0.07480984340044743,5,0.07803131991051454
BA,150,7,2,0.10630872483221476,4,0.10899328859060403
BA,50,3,1,0.09306122448979592,3,0.10122448979591837
BA,50,5,0,0.16163265306122448,2,0.16
BA,50,7,3,0.19755102040816327,3,0.20081632653061224
BA,100,3,1,0.05858585858585859,4,0.05858585858585859
BA,100,5,1,0.10222222222222223,3,0.10262626262626262
BA,100,7,1,0.141010101010101,1,0.1406060606060606
BA,150,3,1,0.04098434004474273,6,0.046353467561521255
BA,150,5,1,0.07463087248322148,4,0.07767337807606264
BA,150,7,3,0.10595078299776287,1,0.10899328859060403
BA,50,3,1,0.09142857142857143,0,0.09306122448979592
BA,50,5,1,0.15020408163265306,5,0.15020408163265306
BA,50,7,2,0.20244897959183675,1,0.21224489795918366
BA,100,3,0,0.05656565656565657,0,0.0597979797979798
BA,100,5,4,0.09858585858585858,2,0.10505050505050505
BA,100,7,1,0.1385858585858586,3,0.1402020202020202
BA,150,3,0,0.04134228187919463,0,0.04778523489932886
BA,150,5,0,0.07695749440715884,0,0.07874720357941835
BA,150,7,1,0.10523489932885906,1,0.10863534675615212
BA,50,3,3,0.0783673469387755,1,0.08326530612244898
BA,50,5,4,0.15020408163265306,3,0.14857142857142858
BA,50,7,3,0.19428571428571428,3,0.1910204081632653
BA,100,3,1,0.05858585858585859,1,0.06383838383838383
BA,100,5,1,0.0993939393939394,0,0.10505050505050505
BA,100,7,1,0.13535353535353536,6,0.141010101010101
BA,150,3,0,0.04116331096196868,4,0.042237136465324385
BA,150,5,2,0.07642058165548099,4,0.08
BA,150,7,0,0.10523489932885906,6,0.10845637583892617
BA,50,3,1,0.08816326530612245,1,0.08816326530612245
BA,50,5,1,0.15183673469387754,4,0.15183673469387754
BA,50,7,1,0.1910204081632653,3,0.21224489795918366
BA,100,3,0,0.05616161616161616,1,0.06424242424242424
BA,100,5,3,0.10424242424242425,1,0.10585858585858586
BA,100,7,0,0.13333333333333333,3,0.1402020202020202
BA,150,3,2,0.04527964205816555,1,0.0461744966442953
BA,150,5,0,0.07480984340044743,6,0.07874720357941835
BA,150,7,0,0.10720357941834452,0,0.10845637583892617
