type,vertex_count,block_count,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
SBM,100,5,1,0.19555555555555557,1,0.19717171717171716,0,0.19797979797979798
SBM,150,2,2,0.26093959731543626,1,0.2570022371364653,0,0.26040268456375837
SBM,150,3,0,0.229082774049217,1,0.22711409395973153,0,0.2410738255033557
SBM,150,5,0,0.21082774049217,0,0.2083221476510067,0,0.20957494407158836
SBM,50,2,0,0.2563265306122449,2,0.24816326530612245,0,0.21224489795918366
SBM,50,3,11,0.17375886524822695,1,0.19858156028368795,0,0.19680851063829788
SBM,50,5,0,0.15510204081632653,5,0.15183673469387754,0,0.156734693877551
SBM,100,2,12,0.24202020202020202,0,0.24727272727272728,0,0.24242424242424243
SBM,100,3,7,0.19954648526077098,0,0.21232735518449805,0,0.20449391877963308
SBM,100,5,1,0.19313131313131313,1,0.19272727272727272,0,0.19313131313131313
SBM,150,2,0,0.26093959731543626,0,0.26541387024608504,0,0.26559284116331094
SBM,150,3,0,0.22550335570469798,0,0.22532438478747205,0,0.2203131991051454
SBM,150,5,4,0.2170917225950783,0,0.21387024608501118,0,0.20850111856823267
SBM,50,2,1,0.24489795918367346,5,0.18612244897959185,0,0.20408163265306123
SBM,50,3,0,0.20567375886524822,2,0.20390070921985815,0,0.2322695035460993
SBM,50,5,4,0.16163265306122448,2,0.14857142857142858,0,0.15510204081632653
SBM,100,2,5,0.24646464646464647,6,0.23797979797979799,0,0.24323232323232324
SBM,100,3,2,0.20325706039991753,0,0.23541537827252113,0,0.22469593898165327
SBM,100,5,3,0.19474747474747475,2,0.19636363636363635,0,0.2008080808080808
SBM,150,2,0,0.25789709172259506,0,0.261834451901566,0,0.2614765100671141
SBM,150,3,7,0.21977628635346755,0,0.23337807606263983,0,0.2206711409395973
SBM,150,5,0,0.2170917225950783,0,0.2174496644295302,0,0.21046979865771812
SBM,50,2,1,0.2563265306122449,9,0.21877551020408162,0,0.21224489795918366
SBM,50,3,5,0.1950354609929078,5,0.18085106382978725,0,0.18439716312056736
SBM,50,5,0,0.16326530612244897,3,0.17142857142857143,0,0.1730612244897959
SBM,100,2,1,0.2501010101010101,4,0.24808080808080807,0,0.24888888888888888
SBM,100,3,0,0.23046794475365903,3,0.2271696557410843,0,0.238301381158524
SBM,100,5,1,0.2008080808080808,2,0.19595959595959597,0,0.19151515151515153
SBM,150,2,4,0.27060402684563756,6,0.27221476510067116,0,0.2688143176733781
SBM,150,3,16,0.22174496644295302,0,0.2244295302013423,0,0.22425055928411633
SBM,150,5,1,0.22174496644295302,3,0.22156599552572706,0,0.22085011185682327
SBM,50,2,0,0.2057142857142857,0,0.25142857142857145,0,0.20081632653061224
SBM,50,3,2,0.15070921985815602,1,0.15602836879432624,0,0.14716312056737588
SBM,50,5,10,0.13387755102040816,5,0.13877551020408163,0,0.1404081632653061
SBM,100,2,0,0.2387878787878788,5,0.23797979797979799,0,0.24444444444444444
SBM,100,3,2,0.19501133786848074,1,0.22057307771593485,0,0.20902906617192332
SBM,100,5,2,0.19515151515151516,5,0.19353535353535353,0,0.1991919191919192
SBM,150,2,0,0.26612975391498883,0,0.2614765100671141,0,0.3182102908277405
SBM,150,3,3,0.23534675615212527,0,0.2532438478747204,0,0.22818791946308725
SBM,150,5,1,0.21727069351230424,2,0.2160178970917226,0,0.218165548098434
SBM,50,2,0,0.19591836734693877,0,0.19755102040816327,0,0.19918367346938776
SBM,50,3,3,0.17907801418439717,2,0.20921985815602837,0,0.18262411347517732
SBM,50,5,8,0.15020408163265306,0,0.15836734693877552,0,0.16489795918367348
SBM,100,2,0,0.23676767676767677,0,0.2404040404040404,0,0.2391919191919192
SBM,100,3,1,0.2271696557410843,1,0.22510822510822512,0,0.2552051123479695
SBM,100,5,0,0.19676767676767676,1,0.20282828282828283,0,0.19353535353535353
SBM,150,2,4,0.2625503355704698,2,0.26040268456375837,0,0.2596868008948546
SBM,150,3,2,0.2272930648769575,9,0.22568232662192395,0,0.22263982102908278
SBM,150,5,0,0.20187919463087248,1,0.20742729306487695,0,0.20993288590604026
SBM,50,2,0,0.19591836734693877,0,0.21714285714285714,0,0.2073469387755102
SBM,50,3,1,0.1950354609929078,0,0.18262411347517732,0,0.21631205673758866
SBM,50,5,0,0.14857142857142858,2,0.16,0,0.15836734693877552
SBM,100,2,0,0.2492929292929293,0,0.24606060606060606,0,0.24606060606060606
SBM,100,3,4,0.24077509791795507,0,0.22263450834879406,0,0.24778396206967634
SBM,100,5,0,0.21171717171717172,1,0.20323232323232324,0,0.20565656565656565
SBM,150,2,0,0.26308724832214764,4,0.26559284116331094,0,0.26272930648769577
SBM,150,3,2,0.22335570469798657,2,0.2564653243847875,0,0.21941834451901565
SBM,150,5,3,0.20599552572706936,3,0.20706935123042505,0,0.20975391498881432
SBM,50,2,0,0.18775510204081633,0,0.1910204081632653,0,0.19918367346938776
SBM,50,3,14,0.1773049645390071,2,0.20921985815602837,0,0.1950354609929078
SBM,50,5,5,0.17469387755102042,0,0.16326530612244897,0,0.16816326530612244
SBM,100,2,0,0.24606060606060606,0,0.24282828282828284,0,0.24404040404040403
SBM,100,3,9,0.2077922077922078,5,0.22758194186765615,0,0.20944135229849514
