type,vertex_count,block_count,eigenvector_fp,eigenvector_energy,half_fp,half_energy
SBM,50,5,3,0.14530612244897959,1,0.15836734693877552
SBM,100,2,0,0.2513131313131313,0,0.24686868686868688
SBM,100,3,0,0.24695938981653268,0,0.2110904968047825
SBM,100,5,1,0.20040404040404042,3,0.2012121212121212
SBM,150,2,6,0.2646979865771812,0,0.26630872483221474
SBM,150,3,9,0.22389261744966443,0,0.22281879194630871
SBM,150,5,2,0.2156599552572707,0,0.2206711409395973
SBM,50,2,2,0.2220408163265306,25,0.17142857142857143
SBM,50,3,1,0.20921985815602837,24,0.14361702127659576
SBM,50,5,12,0.14530612244897959,0,0.15510204081632653
SBM,100,2,3,0.25616161616161615,0,0.258989898989899
SBM,100,3,0,0.22345908060193775,0,0.1937744794887652
SBM,100,5,0,0.20363636363636364,5,0.18666666666666668
SBM,150,2,2,0.26380313199105143,8,0.2643400447427293
SBM,150,3,1,0.22675615212527964,0,0.22675615212527964
SBM,150,5,1,0.19722595078299776,2,0.2047427293064877
SBM,50,2,2,0.24653061224489795,0,0.24653061224489795
SBM,50,3,1,0.20212765957446807,6,0.18439716312056736
SBM,50,5,3,0.15020408163265306,0,0.15510204081632653
SBM,100,2,0,0.24565656565656566,8,0.24202020202020202
SBM,100,3,5,0.22057307771593485,0,0.23871366728509585
SBM,100,5,0,0.19313131313131313,0,0.19515151515151516
SBM,150,2,3,0.2607606263982103,1,0.26487695749440715
SBM,150,3,0,0.23498881431767338,0,0.26040268456375837
SBM,150,5,6,0.20456375838926175,2,0.21637583892617449
SBM,50,2,0,0.2089795918367347,0,0.2089795918367347
SBM,50,3,0,0.20567375886524822,1,0.20035460992907803
SBM,50,5,2,0.17795918367346938,2,0.18285714285714286
SBM,100,2,6,0.24888888888888888,0,0.2513131313131313
SBM,100,3,1,0.21768707482993196,3,0.20944135229849514
SBM,100,5,2,0.19353535353535353,1,0.19434343434343435
SBM,150,2,3,0.2639821029082774,0,0.2670246085011186
SBM,150,3,0,0.22281879194630871,3,0.24751677852348994
SBM,150,5,0,0.21404921700223714,2,0.22353467561521254
SBM,50,2,2,0.20408163265306123,7,0.20408163265306123
SBM,50,3,1,0.20035460992907803,0,0.18971631205673758
SBM,50,5,1,0.16979591836734695,0,0.18122448979591838
SBM,100,2,1,0.22707070707070706,0,0.2290909090909091
SBM,100,3,0,0.24283652855081425,1,0.20366934652648938
SBM,100,5,1,0.19757575757575757,3,0.18828282828282827
SBM,150,2,0,0.2713199105145414,0,0.2639821029082774
SBM,150,3,0,0.2593288590604027,1,0.2480536912751678
SBM,150,5,0,0.218165548098434,0,0.22246085011185682
SBM,50,2,0,0.2546938775510204,25,0.15020408163265306
SBM,50,3,3,0.19326241134751773,2,0.20921985815602837
SBM,50,5,1,0.16,2,0.16163265306122448
SBM,100,2,0,0.2476767676767677,0,0.24444444444444444
SBM,100,3,4,0.21273964131106987,9,0.20202020202020202
SBM,100,5,1,0.18828282828282827,0,0.19111111111111112
SBM,150,2,0,0.2611185682326622,0,0.26612975391498883
SBM,150,3,1,0.22496644295302012,1,0.22263982102908278
SBM,150,5,2,0.21082774049217,1,0.21333333333333335
SBM,50,2,0,0.23673469387755103,25,0.16816326530612244
SBM,50,3,2,0.20390070921985815,8,0.20921985815602837
SBM,50,5,3,0.13714285714285715,25,0.10448979591836735
SBM,100,2,2,0.23555555555555555,5,0.2307070707070707
SBM,100,3,1,0.21933621933621933,1,0.2057307771593486
SBM,100,5,0,0.20323232323232324,1,0.20484848484848484
SBM,150,2,0,0.25914988814317674,0,0.2611185682326622
SBM,150,3,1,0.22926174496644294,0,0.23033557046979866
SBM,150,5,2,0.21208053691275167,0,0.2170917225950783
SBM,50,2,8,0.17142857142857143,0,0.18775510204081633
SBM,50,3,2,0.18617021276595744,2,0.20567375886524822
SBM,50,5,0,0.16653061224489796,0,0.156734693877551
SBM,100,2,0,0.24525252525252525,5,0.24242424242424243
SBM,100,3,2,0.20202020202020202,8,0.2069676355390641
SBM,100,5,3,0.19434343434343435,0,0.1923232323232323
