type,vertex_count,edge_density,eigenvector_fp,eigenvector_energy,half_fp,half_energy
ER,50,0.2,0,0.17959183673469387,2,0.16816326530612244
ER,50,0.3,5,0.24653061224489795,1,0.24816326530612245
ER,50,0.4,1,0.2938775510204082,0,0.2857142857142857
ER,50,0.5,1,0.3004081632653061,0,0.30857142857142855
ER,100,0.1,2,0.1103030303030303,1,0.10545454545454545
ER,100,0.2,0,0.22424242424242424,4,0.22383838383838384
ER,100,0.3,2,0.3014141414141414,5,0.2973737373737374
ER,100,0.4,3,0.3490909090909091,0,0.34545454545454546
ER,100,0.5,2,0.35878787878787877,2,0.36484848484848487
ER,20,0.1,4,0.05263157894736842,6,0.042105263157894736
ER,20,0.2,9,0.06315789473684211,0,0.11578947368421053
ER,20,0.3,0,0.18947368421052632,1,0.18947368421052632
ER,20,0.4,1,0.21052631578947367,0,0.24210526315789474
ER,20,0.5,2,0.22105263157894736,0,0.24210526315789474
ER,50,0.1,0,0.09142857142857143,0,0.0946938775510204
ER,50,0.2,11,0.1730612244897959,3,0.18122448979591838
ER,50,0.3,0,0.2693877551020408,5,0.26285714285714284
ER,50,0.4,1,0.3036734693877551,1,0.2922448979591837
ER,50,0.5,6,0.31183673469387757,0,0.3248979591836735
ER,100,0.1,2,0.11474747474747475,5,0.11393939393939394
ER,100,0.2,0,0.22545454545454546,1,0.22303030303030302
ER,100,0.3,2,0.3086868686868687,1,0.30424242424242426
ER,100,0.4,1,0.3523232323232323,0,0.3466666666666667
ER,100,0.5,2,0.36808080808080806,0,0.36323232323232324
ER,20,0.1,8,0.021052631578947368,3,0.06315789473684211
ER,20,0.2,2,0.14736842105263157,10,0.08421052631578947
ER,20,0.3,0,0.18947368421052632,2,0.17894736842105263
ER,20,0.4,10,0.15789473684210525,10,0.21052631578947367
ER,20,0.5,0,0.21052631578947367,4,0.21052631578947367
ER,50,0.1,1,0.08489795918367347,0,0.08163265306122448
ER,50,0.2,0,0.1893877551020408,0,0.20081632653061224
ER,50,0.3,2,0.26285714285714284,2,0.2546938775510204
ER,50,0.4,1,0.3053061224489796,1,0.3036734693877551
ER,50,0.5,0,0.31020408163265306,4,0.32326530612244897
ER,100,0.1,1,0.10787878787878788,1,0.10585858585858586
ER,100,0.2,0,0.22101010101010102,2,0.22585858585858587
ER,100,0.3,3,0.296969696969697,1,0.30343434343434345
ER,100,0.4,0,0.3426262626262626,1,0.34545454545454546
ER,100,0.5,2,0.362020202020202,1,0.36404040404040405
ER,20,0.1,0,0.06315789473684211,3,0.05263157894736842
ER,20,0.2,6,0.15789473684210525,10,0.08421052631578947
ER,20,0.3,0,0.22105263157894736,10,0.14736842105263157
ER,20,0.4,0,0.22105263157894736,10,0.21052631578947367
ER,20,0.5,2,0.23157894736842105,3,0.21052631578947367
ER,50,0.1,5,0.0963265306122449,1,0.09306122448979592
ER,50,0.2,2,0.17959183673469387,2,0.18122448979591838
ER,50,0.3,0,0.24979591836734694,1,0.24816326530612245
ER,50,0.4,1,0.2987755102040816,0,0.29714285714285715
ER,50,0.5,0,0.31020408163265306,2,0.3036734693877551
ER,100,0.1,1,0.10909090909090909,2,0.11070707070707071
ER,100,0.2,4,0.22262626262626262,1,0.22343434343434343
ER,100,0.3,1,0.30787878787878786,1,0.30505050505050507
