type,vertex_count,edge_density,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
ER,20,0.3,1,0.16842105263157894,8,0.1368421052631579,0,0.15789473684210525
ER,20,0.4,0,0.21052631578947367,0,0.2,0,0.23157894736842105
ER,20,0.5,3,0.24210526315789474,0,0.22105263157894736,0,0.23157894736842105
ER,50,0.1,0,0.09959183673469388,9,0.09142857142857143,0,0.0963265306122449
ER,50,0.2,1,0.16816326530612244,0,0.17469387755102042,0,0.17469387755102042
ER,50,0.3,1,0.2416326530612245,3,0.24816326530612245,0,0.24489795918367346
ER,50,0.4,2,0.29714285714285715,11,0.2922448979591837,0,0.3069387755102041
ER,50,0.5,1,0.313469387755102,0,0.313469387755102,0,0.30857142857142855
ER,100,0.1,0,0.11838383838383838,0,0.12080808080808081,0,0.11838383838383838
ER,100,0.2,3,0.23434343434343435,2,0.23272727272727273,0,0.23353535353535354
ER,100,0.3,1,0.3054545454545455,2,0.30424242424242426,0,0.3014141414141414
ER,100,0.4,2,0.3490909090909091,0,0.3414141414141414,0,0.343030303030303
ER,100,0.5,3,0.36363636363636365,0,0.3616161616161616,0,0.36323232323232324
ER,20,0.1,6,0.06315789473684211,4,0.06315789473684211,0,0.08421052631578947
ER,20,0.2,2,0.11578947368421053,6,0.12631578947368421,0,0.1368421052631579
ER,20,0.3,3,0.17894736842105263,2,0.17894736842105263,0,0.18947368421052632
ER,20,0.4,0,0.22105263157894736,4,0.2,0,0.23157894736842105
ER,20,0.5,1,0.24210526315789474,0,0.22105263157894736,0,0.22105263157894736
ER,50,0.1,1,0.08816326530612245,1,0.0946938775510204,0,0.09306122448979592
ER,50,0.2,0,0.1893877551020408,2,0.1893877551020408,0,0.1926530612244898
ER,50,0.3,3,0.2612244897959184,0,0.2530612244897959,0,0.2530612244897959
ER,50,0.4,2,0.29714285714285715,2,0.2938775510204082,0,0.29061224489795917
ER,50,0.5,0,0.31183673469387757,0,0.32326530612244897,0,0.31673469387755104
ER,100,0.1,2,0.11353535353535353,0,0.11313131313131314,0,0.11434343434343434
ER,100,0.2,2,0.22545454545454546,2,0.22383838383838384,0,0.22383838383838384
ER,100,0.3,0,0.2973737373737374,1,0.3022222222222222,0,0.3022222222222222
ER,100,0.4,0,0.3523232323232323,1,0.3474747474747475,0,0.3466666666666667
ER,100,0.5,0,0.36767676767676766,0,0.36,0,0.36727272727272725
ER,20,0.1,1,0.07368421052631578,2,0.09473684210526316,0,0.10526315789473684
ER,20,0.2,11,0.05263157894736842,5,0.031578947368421054,0,0.05263157894736842
ER,20,0.3,5,0.21052631578947367,3,0.15789473684210525,0,0.14736842105263157
ER,20,0.4,10,0.14736842105263157,3,0.22105263157894736,0,0.18947368421052632
