type,vertex_count,k,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
BA,150,3,1,0.046353467561521255,1,0.04456375838926174,0,0.04527964205816555
BA,150,5,1,0.07713646532438478,1,0.0789261744966443,0,0.07695749440715884
BA,150,7,1,0.11006711409395974,6,0.11006711409395974,0,0.10809843400447428
BA,50,3,1,0.0963265306122449,15,0.07510204081632653,0,0.10122448979591837
BA,50,5,1,0.15510204081632653,4,0.16,0,0.16816326530612244
BA,50,7,1,0.1893877551020408,7,0.18285714285714286,0,0.21061224489795918
BA,100,3,2,0.06101010101010101,2,0.0602020202020202,0,0.06545454545454546
BA,100,5,2,0.10222222222222223,5,0.10343434343434343,0,0.10383838383838384
BA,100,7,1,0.14464646464646463,9,0.14383838383838385,0,0.14505050505050504
BA,150,3,3,0.047248322147651005,4,0.04456375838926174,0,0.04689038031319911
