type,vertex_count,k,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
BA,150,5,0,0.08125279642058165,1,0.07319910514541388,0,0.07319910514541388,1,0.07516778523489932,4,0.0753872325185782,1,0.07463087248322148
BA,150,7,5,0.10819525302283924,3,0.10615825277479413,1,0.10577181208053692,2,0.10345444782530876,3,0.11385606874328678,2,0.10542330409880078
BA,50,3,31,0.0868421052631579,0,0.0963265306122449,3,0.10638297872340426,1,0.0963265306122449,2,0.1111111111111111,0,0.10448979591836735
BA,50,5,1,0.15183673469387754,1,0.15346938775510205,2,0.1568627450980392,5,0.151440329218107,0,0.156734693877551,7,0.15282392026578073
BA,50,7,17,0.20202020202020202,3,0.18985270049099837,1,0.1926530612244898,3,0.19639934533551553,4,0.2018047579983593,3,0.19967266775777415
BA,100,3,0,0.06101010101010101,0,0.05494949494949495,0,0.05696969696969697,2,0.05698120832491412,3,0.06145138467758237,1,0.05656565656565657
BA,100,5,2,0.10264699939381693,1,0.10181818181818182,3,0.101475641803113,1,0.10383838383838384,7,0.101034692635423,2,0.09941402303495656
BA,100,7,0,0.14222222222222222,3,0.13826561552456035,1,0.1406060606060606,2,0.13780561729642352,7,0.14201663623453034,3,0.13907418637558117
BA,150,3,0,0.0458165548098434,0,0.04134228187919463,1,0.04259507829977629,2,0.042061929479148025,1,0.0461744966442953,6,0.04247311827956989
BA,150,5,3,0.07662012173290368,1,0.07230425055928412,0,0.07391498881431767,1,0.07480984340044743,9,0.07792440973157375,0,0.07588366890380313
BA,150,7,1,0.10970917225950783,2,0.10739216037229282,1,0.10809843400447428,0,0.10720357941834452,1,0.11131991051454139,2,0.10846608197601575
BA,50,3,16,0.09230769230769231,0,0.08816326530612245,2,0.08169934640522876,0,0.09142857142857143,2,0.09477124183006536,3,0.09165302782324058
BA,50,5,1,0.16979591836734695,7,0.1511627906976744,2,0.15196078431372548,0,0.15020408163265306,6,0.15537190082644628,2,0.1568627450980392
BA,50,7,10,0.19322033898305085,2,0.19444444444444445,1,0.18775510204081633,0,0.1910204081632653,18,0.21828358208955223,5,0.1860082304526749
BA,100,3,1,0.06060606060606061,0,0.05696969696969697,3,0.05579138872043663,2,0.05496059810062639,0,0.057373737373737375,4,0.05906148867313916
BA,100,5,2,0.10507173166296221,0,0.10343434343434343,2,0.09779753485552636,5,0.09676113360323886,3,0.10470992520719628,4,0.10153721682847897
BA,100,7,4,0.1395631067961165,4,0.1343042071197411,1,0.13575757575757577,1,0.13777777777777778,2,0.1365932511618509,0,0.13252525252525252
BA,150,3,3,0.04439670605084139,1,0.0458165548098434,1,0.040805369127516776,1,0.040805369127516776,0,0.04796420581655481,1,0.04348993288590604
