type,vertex_count,k,eigenvector_fp,eigenvector_energy,original_fp,original_energy
BA,500,3,1,0.017042084168336673,0,0.018132264529058115
BA,500,5,0,0.029579158316633266,2,0.030605455755156354
BA,500,7,1,0.04157114228456914,4,0.04275957160264221
BA,300,3,0,0.02581939799331104,0,0.027157190635451505
BA,300,5,0,0.04387959866220736,3,0.04776239213325306
BA,300,7,0,0.0631438127090301,1,0.06546265328874025
BA,500,3,0,0.017266533066132263,2,0.01811637768639428
BA,500,5,1,0.029306613226452907,2,0.031054357149155505
BA,500,7,1,0.04176352705410822,1,0.04315831663326653
BA,300,3,3,0.024929203737150758,3,0.02666845050951011
BA,300,5,0,0.04539576365663322,1,0.0465551839464883
BA,300,7,2,0.06443844901781534,3,0.06421834236403773
BA,500,3,2,0.01712238174253902,2,0.017875894796751876
BA,500,5,7,0.0297284512823802,0,0.030284569138276554
BA,500,7,3,0.041508012216726654,6,0.04271455485629535
BA,300,3,1,0.025596432552954292,6,0.026854020296643247
BA,300,5,1,0.04472686733556299,2,0.04530758768311445
BA,300,7,0,0.06363433667781494,1,0.06474916387959866
BA,500,3,1,0.01733066132264529,0,0.018276553106212425
BA,500,5,3,0.029611934555540415,0,0.03094188376753507
BA,500,7,0,0.04197194388777555,0,0.043511022044088174
BA,300,3,3,0.02519678016366758,1,0.027290969899665552
BA,300,5,0,0.04468227424749164,1,0.046064659977703454
BA,300,7,1,0.06336677814938685,0,0.06608695652173913
BA,500,3,0,0.017074148296593185,1,0.017827655310621242
BA,500,5,3,0.029467642508437076,1,0.03062124248496994
BA,500,7,1,0.04177955911823647,3,0.04322348433228855
BA,300,3,1,0.026354515050167223,0,0.026622073578595317
BA,300,5,3,0.0451758200102571,4,0.0470966015520471
BA,300,7,3,0.06256828773385065,3,0.06511026378576047
BA,500,3,1,0.0171062124248497,0,0.018148296593186373
BA,500,5,2,0.02953129884808696,1,0.031102204408817634
BA,500,7,5,0.04208754208754209,0,0.043478957915831666
BA,300,3,0,0.02519509476031215,0,0.0273355629877369
BA,300,5,3,0.04557718465003233,2,0.046467033824611474
BA,300,7,3,0.06350480522665954,6,0.0652615144418423
BA,500,3,0,0.017314629258517036,1,0.017907815631262525
BA,500,5,2,0.029403041306944343,1,0.03140681362725451
BA,500,7,2,0.04216466665063447,2,0.04288611531956168
BA,300,3,2,0.02452674530089857,0,0.027068004459308806
BA,300,5,0,0.045707915273132664,2,0.04749269771901269
BA,300,7,0,0.06390189520624304,1,0.06617614269788183
BA,500,3,0,0.017026052104208416,1,0.017907815631262525
BA,500,5,2,0.029803846123015013,2,0.030797842066870276
BA,500,7,1,0.04222845691382766,1,0.04272545090180361
BA,300,3,0,0.02564102564102564,1,0.026711259754738016
BA,300,5,2,0.04521839951838391,4,0.04549103559004549
BA,300,7,1,0.0626978818283166,0,0.06568561872909699
BA,500,3,1,0.017587174348697394,1,0.017859719438877757
BA,500,5,0,0.029915831663326654,0,0.03113426853707415
BA,500,7,2,0.04177989402720663,3,0.0433036465806793
BA,300,3,0,0.025061315496098104,4,0.02658103648202658
BA,300,5,0,0.04503901895206243,2,0.045976498918593504
BA,300,7,1,0.0629654403567447,2,0.0665789649713483
BA,500,3,1,0.01696192384769539,1,0.017587174348697394
BA,500,5,0,0.029739478957915833,3,0.03052578418719488
BA,500,7,0,0.042549098196392784,3,0.04328761413100115
BA,300,3,0,0.0252396878483835,0,0.02653288740245262
BA,300,5,1,0.04374581939799331,3,0.0463799139295828
BA,300,7,1,0.06256410256410257,5,0.06480820695807316
