type,vertex_count,probability,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp,pagerank_energy,betweenness_fp,betweenness_energy,clustering_fp,clustering_energy,degree_fp,degree_energy
DuplicationDivergence,50,0.1,7,0.006644518272425249,1,0.04081632653061224,1,0.0326530612244898,1,0.035918367346938776,5,0.02962962962962963,1,0.029387755102040815
DuplicationDivergence,50,0.3,3,0.03764320785597381,1,0.04081632653061224,1,0.037551020408163265,0,0.044081632653061226,3,0.0425531914893617,0,0.04081632653061224
DuplicationDivergence,100,0.1,1,0.020202020202020204,5,0.015789473684210527,1,0.015353535353535354,0,0.01292929292929293,1,0.019393939393939394,1,0.01898989898989899
DuplicationDivergence,100,0.3,14,0.023873224943403992,5,0.018218623481781375,2,0.025863810870883006,1,0.02585858585858586,0,0.030303030303030304,1,0.03151515151515152
DuplicationDivergence,150,0.1,2,0.013424020046536603,1,0.012170022371364653,0,0.012348993288590604,0,0.011991051454138703,9,0.016518538468444206,1,0.013243847874720358
DuplicationDivergence,150,0.3,1,0.02666666666666667,0,0.02541387024608501,1,0.024340044742729307,1,0.024161073825503355,5,0.026332288401253918,2,0.0209414712725971
DuplicationDivergence,50,0.1,1,0.029387755102040815,1,0.027755102040816326,0,0.026122448979591838,0,0.024489795918367346,0,0.022857142857142857,0,0.024489795918367346
DuplicationDivergence,50,0.3,6,0.04132231404958678,1,0.037551020408163265,0,0.037551020408163265,1,0.045714285714285714,0,0.04081632653061224,5,0.0411522633744856
DuplicationDivergence,100,0.1,2,0.017781369973732065,1,0.017777777777777778,0,0.018585858585858588,1,0.018585858585858588,0,0.01898989898989899,1,0.01818181818181818
DuplicationDivergence,100,0.3,1,0.03272727272727273,0,0.04,2,0.039603960396039604,0,0.03838383838383838,6,0.02917933130699088,9,0.02726902726902727
DuplicationDivergence,150,0.1,3,0.01414249910490512,1,0.011633109619686801,0,0.012885906040268456,4,0.0118184260005372,1,0.013243847874720358,1,0.012170022371364653
DuplicationDivergence,150,0.3,7,0.022772099695176618,6,0.02114695340501792,1,0.020044742729306488,0,0.019865771812080536,3,0.023630504833512353,3,0.02201933404940924
DuplicationDivergence,50,0.1,0,0.0326530612244898,1,0.03428571428571429,1,0.031020408163265307,0,0.03428571428571429,6,0.02975206611570248,1,0.037551020408163265
DuplicationDivergence,50,0.3,8,0.031746031746031744,30,0.0,1,0.05061224489795919,26,0.0044444444444444444,5,0.03621399176954732,5,0.0345679012345679
DuplicationDivergence,100,0.1,1,0.027878787878787878,1,0.018585858585858588,0,0.01818181818181818,0,0.018585858585858588,1,0.021414141414141413,5,0.01902834008097166
DuplicationDivergence,100,0.3,1,0.023434343434343436,5,0.02348178137651822,1,0.022626262626262626,1,0.02909090909090909,1,0.02666666666666667,0,0.022222222222222223
DuplicationDivergence,150,0.1,4,0.015220700152207,2,0.012529085376767496,0,0.012706935123042506,1,0.012170022371364653,1,0.012885906040268456,0,0.01395973154362416
DuplicationDivergence,150,0.3,7,0.023489331181638873,0,0.02738255033557047,0,0.023266219239373602,0,0.024340044742729307,2,0.027206013960980848,1,0.02523489932885906
DuplicationDivergence,50,0.1,1,0.037551020408163265,6,0.019834710743801654,1,0.027755102040816326,2,0.0196078431372549,1,0.03918367346938775,3,0.02127659574468085
DuplicationDivergence,50,0.3,1,0.027755102040816326,2,0.021241830065359478,1,0.031020408163265307,1,0.027755102040816326,0,0.03428571428571429,4,0.02132895816242822
DuplicationDivergence,100,0.1,1,0.02101010101010101,0,0.020606060606060607,0,0.01494949494949495,1,0.017373737373737375,12,0.015151515151515152,0,0.02101010101010101
DuplicationDivergence,100,0.3,1,0.02909090909090909,0,0.028282828282828285,0,0.027474747474747475,0,0.03111111111111111,5,0.02834008097165992,0,0.02585858585858586
DuplicationDivergence,150,0.1,1,0.016107382550335572,3,0.01593268886501969,0,0.01378076062639821,1,0.01378076062639821,5,0.013076578593819973,0,0.01628635346756152
DuplicationDivergence,150,0.3,1,0.026308724832214764,3,0.02559971356963838,0,0.023803131991051454,1,0.02237136465324385,1,0.02702460850111857,6,0.02007168458781362
DuplicationDivergence,50,0.1,0,0.027755102040816326,9,0.01345668629100084,0,0.022857142857142857,2,0.02287581699346405,3,0.029459901800327332,0,0.022857142857142857
DuplicationDivergence,50,0.3,9,0.015138772077375946,14,0.01763668430335097,1,0.0326530612244898,1,0.0326530612244898,27,0.0,2,0.032679738562091505
DuplicationDivergence,100,0.1,0,0.01898989898989899,0,0.019393939393939394,0,0.017777777777777778,0,0.01696969696969697,1,0.019797979797979797,0,0.016565656565656565
DuplicationDivergence,100,0.3,0,0.02666666666666667,0,0.027878787878787878,3,0.021831412977562158,0,0.022626262626262626,5,0.024696356275303644,3,0.019001414998989285
DuplicationDivergence,150,0.1,2,0.014676928584213352,1,0.014675615212527963,0,0.012170022371364653,0,0.012170022371364653,3,0.01664876476906552,1,0.011991051454138703
