type,vertex_count,dimension,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp, pagerank_energy, betweenness_fp, betweenness_energy, clustering_fp, clustering_energy, degree_fp, degree_energy
grid,100,2,0,0.024242424242424242,1,0.02666666666666667,0,0.02585858585858586,0,0.008888888888888889,0,0.02707070707070707,0,0.024646464646464646
grid,150,2,0,0.021297539149888144,2,0.020762484338643278,1,0.022550335570469798,3,0.01987110633727175,2,0.02112045820655092,1,0.021297539149888144
grid,50,2,6,0.02809917355371901,3,0.03600654664484452,0,0.019591836734693877,0,0.006530612244897959,0,0.037551020408163265,0,0.04081632653061224
grid,100,2,7,0.02799756542909312,1,0.024646464646464646,1,0.02707070707070707,3,0.021831412977562158,0,0.026262626262626262,2,0.0266720549605981
grid,150,2,2,0.021299445140504743,3,0.020945220193340493,1,0.020044742729306488,2,0.01306604617862896,0,0.021834451901565997,1,0.02022371364653244
grid,50,2,0,0.04244897959183674,0,0.029387755102040815,0,0.03428571428571429,0,0.0,0,0.0473469387755102,2,0.04084967320261438
grid,100,2,1,0.023434343434343436,0,0.019797979797979797,0,0.023434343434343436,4,0.012944983818770227,4,0.026294498381877023,2,0.029905031319458476
grid,150,2,0,0.021834451901565997,1,0.019507829977628635,0,0.02022371364653244,4,0.0180857731220342,1,0.023266219239373602,2,0.021657419008412386
grid,50,2,2,0.04084967320261438,0,0.037551020408163265,0,0.035918367346938776,0,0.029387755102040815,1,0.035918367346938776,0,0.014693877551020407
grid,100,2,1,0.02909090909090909,0,0.025454545454545455,5,0.025101214574898785,5,0.025101214574898785,0,0.023434343434343436,1,0.02707070707070707
grid,150,2,3,0.02184031507339778,0,0.021476510067114093,0,0.022013422818791945,2,0.018972614999105065,0,0.022013422818791945,0,0.02308724832214765
grid,50,2,0,0.03918367346938775,0,0.029387755102040815,0,0.0,0,0.019591836734693877,0,0.04081632653061224,5,0.0345679012345679
grid,100,2,0,0.024242424242424242,0,0.019797979797979797,0,0.025454545454545455,0,0.008484848484848486,7,0.025968756340028404,1,0.028282828282828285
grid,150,2,5,0.022212270488132558,2,0.019867549668874173,4,0.020592711970633,1,0.020044742729306488,0,0.021834451901565997,1,0.021297539149888144
grid,50,2,0,0.045714285714285714,0,0.03918367346938775,0,0.04081632653061224,0,0.0,0,0.04897959183673469,0,0.03428571428571429
grid,100,2,1,0.02707070707070707,1,0.027878787878787878,0,0.025050505050505052,5,0.01902834008097166,0,0.027878787878787878,0,0.02585858585858586
grid,150,2,0,0.020402684563758388,0,0.022013422818791945,1,0.021476510067114093,0,0.018612975391498882,0,0.021297539149888144,0,0.021476510067114093
grid,50,2,0,0.044081632653061226,0,0.026122448979591838,0,0.027755102040816326,0,0.037551020408163265,14,0.024691358024691357,0,0.037551020408163265
grid,100,2,0,0.027878787878787878,4,0.024271844660194174,0,0.02666666666666667,1,0.02181818181818182,0,0.02666666666666667,0,0.026262626262626262
grid,150,2,4,0.020592711970633,0,0.021834451901565997,1,0.020402684563758388,1,0.017718120805369126,2,0.02219437981027385,3,0.021124239169351952
grid,50,2,0,0.035918367346938776,2,0.016339869281045753,1,0.027755102040816326,0,0.03918367346938775,0,0.0326530612244898,0,0.037551020408163265
grid,100,2,0,0.028282828282828285,5,0.026720647773279354,0,0.023434343434343436,0,0.025454545454545455,0,0.02707070707070707,0,0.026262626262626262
grid,150,2,0,0.02272930648769575,0,0.018970917225950783,0,0.019507829977628635,1,0.01592841163310962,2,0.021836405942366206,3,0.02184031507339778
grid,50,2,0,0.03918367346938775,4,0.016406890894175553,0,0.03428571428571429,0,0.0,2,0.024509803921568627,1,0.031020408163265307
grid,100,2,2,0.029096787229743383,0,0.017373737373737375,1,0.02666666666666667,2,0.014548393614871691,8,0.021535960991466884,1,0.02707070707070707
grid,150,2,2,0.021836405942366206,0,0.022013422818791945,1,0.022192393736017897,6,0.02078853046594982,0,0.02272930648769575,1,0.021834451901565997
