type,vertex_count,edge_density,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp, pagerank_energy, betweenness_fp, betweenness_energy, clustering_fp, clustering_energy, degree_fp, degree_energy
ER,20,0.2,6,0.13714285714285715,7,0.10650887573964497,0,0.1368421052631579,0,0.12631578947368421,0,0.12631578947368421,0,0.11578947368421053
ER,20,0.3,1,0.2,2,0.2222222222222222,3,0.1925133689839572,2,0.20105820105820105,1,0.18947368421052632,1,0.22105263157894736
ER,20,0.4,1,0.21052631578947367,2,0.20105820105820105,2,0.17989417989417988,0,0.21052631578947367,3,0.20320855614973263,0,0.21052631578947367
ER,20,0.5,5,0.24444444444444444,2,0.2222222222222222,2,0.2222222222222222,6,0.22857142857142856,7,0.20118343195266272,1,0.22105263157894736
ER,50,0.1,1,0.09795918367346938,9,0.0975609756097561,1,0.0946938775510204,0,0.09959183673469388,1,0.08979591836734693,1,0.09142857142857143
ER,50,0.2,0,0.18448979591836734,2,0.18627450980392157,0,0.18285714285714286,0,0.18122448979591838,1,0.17795918367346938,0,0.18285714285714286
ER,50,0.3,2,0.2647058823529412,2,0.2696078431372549,2,0.27124183006535946,2,0.2630718954248366,1,0.2612244897959184,7,0.2541528239202658
ER,50,0.4,2,0.2973856209150327,0,0.29061224489795917,1,0.30857142857142855,0,0.3020408163265306,0,0.2922448979591837,7,0.2973421926910299
ER,50,0.5,3,0.3060556464811784,1,0.30857142857142855,0,0.3216326530612245,0,0.3053061224489796,1,0.31183673469387757,0,0.3248979591836735
ER,100,0.1,1,0.11272727272727273,5,0.11295546558704453,1,0.1111111111111111,0,0.11151515151515151,0,0.11070707070707071,0,0.11474747474747475
ER,100,0.2,0,0.22585858585858587,0,0.22505050505050506,0,0.22181818181818183,0,0.22545454545454546,2,0.2287330773893716,6,0.2237082066869301
ER,100,0.3,2,0.30430389977773287,0,0.30303030303030304,2,0.2994544352394423,2,0.30430389977773287,1,0.3006060606060606,0,0.3054545454545455
ER,100,0.4,2,0.34592847039806024,0,0.34505050505050505,1,0.3503030303030303,3,0.34970689306650493,0,0.3527272727272727,0,0.34505050505050505
ER,100,0.5,1,0.36,0,0.36727272727272725,0,0.3591919191919192,8,0.3657049979683056,4,0.36084142394822005,1,0.3624242424242424
ER,20,0.1,13,0.0,11,0.02962962962962963,11,0.02962962962962963,4,0.06521739130434782,0,0.042105263157894736,6,0.03428571428571429
